Sex,Sex_Simple,RaceEthnic,SSLast,SSLast_Corrected,Any1_20,Year,Job,Smartphone,Laptop,Cellphone,NoTech,APStats,OtherStats,Understood_Then,Remember_Now,Transfer,MathAnxious,StatsAnxious,Interest,GradePredict,Choc_Effect,Choc_Means,Choc_SD,Choc_Rating,Choc_TestItems,Choc_Kind,Choc_ChooseOne,Choc_DiffExpect,Thumb,Index,Middle,Ring,Pinkie,Height,Weight,Athletic,Hard_Working,Aggressive,Risk_Taker,Friendly,High_Math,Measured_Right,Short_Tall,FingerAVG,Finger_Ratio,TestoSum,RES_1,filter_$
3, ,1,2,2,7,3,3,1,0,0,0,2,2, , ,2,2,2,2,3,1,1,1,0,1,0,2,3,60,70,75,70,60,62.5,207,1,5,1,2,3,3,1,1,67,1,4,2.64410779723337, 
1,1,1,6,6,7,3,3,1,1,0,0,2,1,2,4,1,4,3,1,1,2,1,1,0,1,0,1,1,49,66,70,62,50,64,122,5,4,3,3,4,3,1,1,59.4,1.06451612903226,11,-6.57394429313633,1
1,1,3,1,1,7,3,2,1,1,0,0,2,2, , ,2,4,2,3,2,2,1,1,0,0,0,1,4,47,63,70,65,56,65,138,5,5,3,5,5,4,1,1,60.2,.969230769230769,13,-6.85264568671613,1
1,1,4, , ,7,2,2,1,1,0,0,1,2,2,4,2,2,2,2,2,2,1,1,0,0,1,1,2,75,89,95,85,70,66,185,5,4,4,5,5,4,1,2,82.8,1.04705882352941,14,14.6686529197041,1
1,1,3,3,3,5,2,2,1,1,0,0,2,1,2,3,2,4,4,1,1,2,1,1,0,0,0,1,4,55,77,86,78,61,66,115,2,4,3,3,5,4,1,2,71.4,.987179487179487,8,3.26865291970408,1
1,1,1,4,4,17,3,2,1,0,0,0,2,1,2,3,1,3,3,1,1,2,1,1,0,1,0,1,1,64,76,83,79,66,66,135,3,5,3,4,5,4,1,2,73.6,.962025316455696,10,5.46865291970407,1
1,1,3,2,2,17.38,1,3,1,0,0,0,1,1,2,4,2,2,2,3,2,2,1,1,0,0,0,2,1,70,96,100,93,69,66.5,120,1,4,2,1,4,4,1,2,85.6,1.03225806451613,4,16.9293022229142,1
1,1,3,5,5,10,3,3,1,1,0,0,1,1,1,2,2,4,4,1,2,2,1,1,0,0,0,2,1,4,6,7,6,4,66.5,160,4,5,4,3,3,3,0,2,5.4,1,11, ,0
1,1,3,2,2,9,2,2,1,1,0,0,2,1,2,5,2,4,2,2,2,3,0,1,1,1,1,1,1,53,74,81,75,62,67,158,4,2,4,2,4,3,1,2,69,.986666666666667,10,-.21004847387573,1
1,1,3,8,8,7,2,3,1,1,0,0,2,2, , ,2,2,2,2,3,1,1,1,0,1,0,2,4,6,7,9,8,7,67,130,5,5,3,3,5,3,0,2,7.4,.875,11, ,0
1,1,3,9,9,9,2,3,0,1,1,0,2,2, , ,2,3,2,2,4,2,0,1,0,1,1,2,1,69,76,83,75,57,67,140,4,4,3,4,4,2,1,2,72,1.01333333333333,11,2.78995152612427,1
1,1,1, , ,17,2,3,1,1,0,0,2,1,1,2,2,3,3,2,2,2,1,1,0,0,0,2,1,68,70,82,75,61,67.5,135,3,3,1,4,4,4,1,2,71.2,.933333333333333,8,1.45060082933436,1
1,1,2,1,1,18,3,2,1,1,0,0,2,1,1,1,1,5,5,2,1,2,0,1,0,0,0,2,1,57,57,67,58,49,67.5,166,4,4,1,4,5,5,1,2,57.6,.982758620689655,9,-12.1493991706656,1
1,1,1,9,9,17,3,2,1,0,0,0,2,1,1,2,1,4,5,2,1,2,1,1,0,0,0,2,4,60,70,76,72,55,67.5,130,4,4,4,1,4,4,1,2,66.6,.972222222222222,9,-3.14939917066565,1
1,1,3, , ,3,2,3,1,1,0,0,2,2, , ,2,4,4,2,1,1,1,1,1,0,1,1,1,63,76,82,71,61,68,155,3,4,4,4,4,4,1,2,70.6,1.07042253521127,11,.311250132544458,1
1,1,3,5,5,4,2,3,1,1,0,0,1,2,2,2,2,2,2,1,1,2,1,1,0,0,0,2,1,78,90,95,92,75,68,150,4,4,2,3,4,3,1,2,86,.978260869565217,9,15.7112501325445,1
1,1,4,5461,1,17,3,2,1,1,0,0,2,1,1,3,1,3,2,2,1,2,0,1,1,0,0,3,2,64,76,83,76,64,68,185,5,5,4,4,5,4,1,2,72.6,1,13,2.31125013254446,1
1,1,3, , ,17,3,3,1,1,0,0,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,63,69,78,70,65,68.1,138,4,4,4,4,4,4,1,2,69,.985714285714286,12,-1.39662000681351,1
1,1,5,2,2,7,3,3,1,1,0,0,2,1,1,3,1,2,2,1,1,1,1,1,0,0,0,1,1,64,72,82,71,60,68.5,174,5,5,3,3,5,4,1,2,69.8,1.01408450704225,11,-1.02810056424543,1
1,1,3,7549,9,13,1,3,1,1,0,0,1,2,2,2,2,2,2,2,4,2,0,1,0,0,0,2,1,60,74,83,79,64,68.5,193,2,4,2,3,4,3,1,2,72,.936708860759494,7,1.17189943575457,1
1,1,3, , ,7,1,3,1,1,0,0,2,1,2,2,2,4,4,1,2,2,1,1,0,1,0,2,4,64,75,82,78,61,69,220,3,4,3,4,4,4,1,2,72,.961538461538462,10,.632548738964658,1
1,1,4,2,2,6,1,3,1,1,0,0,2,1,1,2,1,2,4,2,1,1,1,1,1,1,1,3,3,32,24,26,23,18,69,175,4,4,2,4,4,3,0,2,24.6,1.04347826086957,10, ,0
1,1,4,3,3,6,3,3,1,1,0,0,2,1,4,4,1,4,4,3,1,2,1,1,0,0,0,2,4,57,66,76,70,57,69,200,5,5,4,4,5,4,1,2,65.2,.942857142857143,13,-6.16745126103534,1
1,1,3,3,3,10,2,2,1,1,0,0,2,2, , ,2,4,3,1,1,2,1,1,0,0,0,2,1,70,80,90,70,65,69,175,5,4,3,3,5,4,1,2,75,1.14285714285714,11,3.63254873896466,1
1,1,4,3,3,6,3,2,1,1,0,0,2,1,1,2,2,5,4,1,1,2,1,1,0,1,0,2,1,70,75,83,78,60,69,180,2,5,3,4,5,5,1,2,73.2,.961538461538462,9,1.83254873896466,1
1,1,1,5,5,17,3,3,1,1,1,0,1,2,2,4,1,3,3,3,1,3,0,0,0,1,0,4,4,7,8,8.7,7,6,69,145,5,4,3,4,4,4,0,2,7.34,1.14285714285714,12, ,0
1,1,1,7,7,7,2,2,1,0,0,0,2,1,2,3,2,2,1,2,1,1,1,1,1,1,0,1,1,64,75,84,79,64,69,165,3,5,4,2,4,4,1,2,73.2,.949367088607595,9,1.83254873896466,1
1,1,1,6990,0,10,3,2,1,1,0,0,2,2, , ,2,2,2,3,2,1,1,1,1,1,0,2,1,63.5,76.2,82.5,73,57.5,69,160,4,4,4,4,4,2,1,2,70.54,1.04383561643836,12,-.82745126103535,1
1,1,1,7,7,15,2,3,1,1,0,0,2,1,2,3,2,1,3,2,4,2,1,1,0,0,0,1,3,56,68,73,70,55,69.5,145,3,4,2,3,5,2,1,2,64.4,.971428571428571,8,-7.50680195782523,1
1,1,3, , ,3,2,3,1,1,0,0,2,2, , ,2,4,4,3,4,3,0,0,0,0,1,5,4,30,55,60,57,40,70,140,2,2,2,2,4,2,1,2,48.4,.964912280701754,6,-24.0461526546151,1
1,1,5,7,7,13,3,2,1,1,0,0,2,1,2,2,1,4,4,1,1,2,1,1,0,1,0,2,4,70,76,79,75,60,70,180,3,5,3,5,4,5,1,2,72,1.01333333333333,11,-.446152654615133,1
1,1,3,8,8,7,2,3,1,1,1,0,1,1,2,2,2,2,2,2,1,1,1,1,0,0,0,2,1,6,7,8.5,8,6.5,70,200,5,4,3,4,5,3,0,2,7.2,.875,12, ,0
1,1,3,9,9,2,2,2,1,1,0,0,2,2, , ,2,1,1,1,1,2,1,1,0,0,1,2,4,58.42,76.2,91.4,76.2,63.5,70,145,4,4,3,4,4,1,1,2,73.144,1,11,.697847345384872,1
1,1,5,9,9,7,3,3,1,1,0,0,2,1,4,4,1,1,1,1,1,2,0,0,0,1,0,2,1,64,76,89,76,69,70,180,5,5,1,4,5,2,1,2,74.8,1,10,2.35384734538486,1
1,1,1,9,9,20,3,1,1,1,0,0,2,1,1,2,1,3,3,2,1,1,1,1,0,0,0,1,1,69,71,81,73,57,70,135,4,5,3,4,4,4,1,2,70.2,.972602739726027,11,-2.24615265461513,1
1,1,2,6346,6,13,2,3,1,1,0,0,2,2, , ,2,5,5,2,3,1,1,1,0,0,0,2,4,73,85,95,90,65,70,210,2,4,3,2,4,4,1,2,81.6,.944444444444444,7,9.15384734538486,1
1,1,3, , ,10,3,3,1,1,0,0,2,1,2,4,1,2,3,3,3,2,1,1,0,0,0,1,2,66,79,84,74,57,70.5,188,3,4,4,1,1,4,1,2,72,1.06756756756757,8,-.985503351405043,1
1,1,3,3362,2,14,3,3,1,1,0,0,2,1,2,2,1,3,3,2,1,1,1,1,1,1,1,5,1,63.5,76.2,88.9,80,61,70.5,142,4,3,4,4,5,5,1,2,73.92,.9525,12,.934496648594958,1
1,1,3, , ,5,3,3,1,1,0,0,2,2, , ,2,2,1,2,3,2,1,1,0,1,1,2,1,3,5,6,4,4,71,190,4,4,3,3,4,3,0,2,4.4,1.25,10, ,0
1,1,1,1,1,7,2,3,1,1,0,0,2,2, , ,2,2,2,1,1,2,1,1,1,0,1,2,1,7,10,10,8,7,71,181,1,4,1,4,4,4,0,2,8.4,1.25,6, ,0
1,1,3,7037,7,17,3,3,1,1,0,0,2,1,2,4,1,1,1,2,3,1,0,1,1,0,0,3,4,67,83,95,86,75,71,145,1,4,2,5,5,2,1,2,81.2,.965116279069767,8,7.67514595180506,1
1,1,4, , ,1,2,3,1,1,0,0,1,1,2,3,2,2,4,3,4,1,0,1,0,0,0,4,4,50,60,65,60,45,72,185,4,4,5,3,4,3,1,2,56,1,12,-18.6035554417747,1
1,1,1,4,4,3,2,2,1,1,0,0,1,2,2,2,2,4,3,2,4,2,1,1,0,1,0,2,1,65,78,85,79,68,72,155,4,4,3,3,4,4,1,2,75,.987341772151899,10,.396444558225255,1
1,1,1,7,7,17,2,3,1,1,0,0,2,2, , ,2,5,4,1,2,1,1,1,0,0,0,2,3,59,83,87,79,64,72,155,3,4,1,1,5,4,1,2,74.4,1.05063291139241,5,-.203555441774739,1
1,1,4,4048,8,13,3,2,1,1,0,0,2,1,1,1,2,3,3,2,2,2,0,1,1,0,0,2,4,9,10,11,10,9,72,182,3,5,3,4,5,4,0,2,9.8,1,10, ,0
1,1,2,9397,7,7,2,3,1,1,0,0,2,1,2,2,2,2,2,2,1,2,1,1,0,1,0,1,1,52,80,85,86,84,72,220,5,5,4,4,4,4,1,2,77.4,.930232558139535,13,2.79644455822526,1
1,1,5, , ,7,2,2,0,0,1,0,2,2, , ,2,1,1,2,4,1,1,0,0,0,0,1,4,75,90,100,95,85,72.5,325,2,5,2,1,3,1,1,2,89,.947368421052632,5,13.8570938614354,1
1,1,4,3,3,8,3,2,1,1,0,0,2,1,2,2,1,2,4,1,2,2,1,1,0,0,0,2,1,11,14,16,13,11,73,179,4,5,1,3,5,2,0,2,13,1.07692307692308,8, ,0
1,1,1,3,3,14,3,3,1,1,0,0,1,1,2,2,2,3,3,2,1,2,1,1,1,0,0,1,1,90,106,130,120,85,73,185,4,4,2,3,4,3,0,2,106.2,.883333333333333,9, ,0
1,1,1,6,6,12,1,2,1,0,0,0,1,2,1,2,2,4,4,2,2,2,1,1,0,0,0,1,1,65,80,86,75,65,73,158,5,5,2,2,4,4,1,2,74.2,1.06666666666667,9,-1.48225683535453,1
1,1,2,4,4,17,2,3,1,1,0,0,1,2,2,2,2,4,3,1,1,1,1,0,0,1,0,1,1,62,75,85,75,68,73.5,175,4,5,3,2,4,4,1,2,73,1,9,-3.22160753214445,1
1,1,2,6,6,5,2,3,0,1,1,0,2,1,2,2,2,3,3,1,4,2,1,1,0,0,0,1,1,6,9,9,7,6,74,350,4,5,3,4,5,3,0,2,7.4,1.28571428571429,11, ,0
1,1,1,8,8,18,2,1,1,1,0,0,2,2, , ,2,4,2,1,1,1,1,1,0,0,0,1,1,5.9,8.4,8.7,8,6.5,74,190,5,5,3,2,4,4,0,2,7.5,1.05,10, ,0
1,1,1,9,9,3,2,2,1,1,0,0,1,1,2,2,2,4,4,2,1,2,1,1,0,0,0,1,1,63,100,105,104,98,74,185,2,5,4,1,5,4,1,2,94,.961538461538462,7,17.2390417710657,1
1,1,4,7,7,17,3,3,1,1,0,0,2,1,2,2,2,2,2,3,5,2,1,1,0,0,0,1,1,70,83,92,90,71,74.5,260,4,4,3,3,3,3,1,2,81.2,.922222222222222,10,3.89969107427575,1
1,1,1, , ,12,2,3,1,1,0,0,1,1,2,5,2,1,2,2,4,3,0,0,1,0,0,4,3,86,110,121,117,98,75,203,5,5,2,4,4,2,0,2,106.4,.94017094017094,11, ,0
1,1,1,8,8,4,3,3,1,1,0,0,1,1,2,3,1,3,2,3,4,2,1,1,1,1,1,4,4,64,83,87,80,70,76.5,330,2,3,2,3,4,4,1,2,76.8,1.0375,7,-2.65771171288385,1
1,1,1, , ,3,2,2,1,1,0,0,2,2, , ,2,4,3,1,2,2,1,1,0,1,0,1,1,76.2,83.5,87.1,77.2,61.7, ,160,3,4,2,4,4,4,1, ,77.14,1.08160621761658,9, , 
2,2,1,0,0,6,3,3,1,0,0,0,1,1,4,5,1,5,5,1,1,2,1,1,0,1,0,2,2,65,70,78,76,60, ,110,2,4,3,5,5,5,1, ,69.8,.921052631578947,10, , 
2,2,4,8,8,15,2,3,1,1,0,0,2,2, , ,2,3,2,2,4,2,1,0,0,0,0,1,3,51,61,70,63,51,59,112,3,4,2,5,5,3,1,1,59.2,.968253968253968,10,-1.38043732523732,1
2,2,4,2354,4,13,2,2,1,1,0,0,2,1,2,2,2,3,2,2,5,2,1,1,0,0,0,2,1,64,70,76,70,51,59,114,1,3,1,1,3,3,1,1,66.2,1,3,5.61956267476268,1
2,2,3, , ,15,1,3,1,1,0,0,2,1,2,2,2,1,1,2,2,2,1,1,0,0,0,2,1,55,62,68,63,49,59.1,108,1,3,2,1,4,3,1,1,59.4,.984126984126984,4,-1.2883074645953,1
2,2,3,2,2,2,2,3,1,1,0,0,2,1,2,2,2,2,2,3,1,2,1,1,0,0,0,1,1,39,45,49,42,33,59.5,95,1,4,4,4,4,4,0,1,41.6,1.07142857142857,9, ,0
2,2,4, , ,12,2,3,0,1,0,0,2,1,2,2,2,3,3,2,4,2,1,1,0,0,0,2,1,.03,.05,.07,.06,.04,60,135,3,4,1,2,4,3,0,1,.05,.833333333333333,6, ,0
2,2,5,3,3,17,3,3,1,1,0,0,2,1,2,5,1,1,1,2,4,2,1,1,0,1,0,2,1,10,14,15,12,10,60,110,4,4,1,2,5,1,0,1,12.2,1.16666666666667,7, ,0
2,2,4,8,8,6,3,2,1,1,0,0,2,1,2,4,1,4,3,1,1,1,1,1,0,0,0,1,1,5.5,6.5,7,6.5,5.5,60,115,2,5,5,4,5,2,0,1,6.2,1,11, ,0
2,2,4,8,8,7,2,3,1,1,0,0,2,1,2,2,2,1,2,1,4,2,1,0,0,1,1,1,4,5,6,7,6,5,60,149,1,4,1,2,5,1,0,1,5.8,1,4, ,0
2,2,4,8,8,15,2,2,1,1,0,0,2,2, , ,2,1,1,3,2,2,1,1,0,0,1,1,1,6,7.5,8,7.8,6,60,130,4,4,2,3,5,2,0,1,7.06,.961538461538462,9, ,0
2,2,4,8228,8,13,2,2,1,0,0,0,1,1,2,2,2,3,3,1,2,2,1,1,0,0,0,2,1,10,68,80,67,38,60,119,4,2,2,2,4,3,0,1,52.6,1.01492537313433,8, ,0
2,2,4,5,5,4,2,2,1,1,0,0,2,2, , ,2,2,2,1,4,2,1,1,0,0,0,1,1,5,6,7,6.5,5.5,60.1,108,4,5,1,3,4,3,0,1,6,.923076923076923,8, ,0
2,2,4,6,6,13,4,3,1,0,0,0,2,1,2,3,1,4,1,1,2,3,1,1,0,0,1,5,1,55,60,68,63,48,60.2,116,1,5,1,2,5,3,1,1,58.8,.952380952380952,4,-3.07487899753309,1
2,2,1, , ,9,2,2,1,1,0,0,2,1,4,4,2,2,3,2,3,2,1,1,0,1,0,2,1,40,60,70,67,45,60.5,110,2,5,1,2,5,2,1,1,56.4,.895522388059702,5,-5.79848941560702,1
2,2,4,3,3,15,2,3,1,1,0,0,1,2,2,4,2,4,2,2,3,2,1,1,0,0,0,2,2,6,7,8,7,6,60.5,148,4,5,1,2,5,3,0,1,6.8,1,7, ,0
2,2,4,5,5,4,2,3,1,1,0,0,2,2, , ,2,2,1,2,4,2,0,1,0,0,1,2,3,54,65,76,72,48,60.5,115,2,5,4,4,5,3,1,1,63,.902777777777778,10,.801510584392986,1
2,2,3, , ,1,2,3,1,1,0,0,2,2, , ,2,3,2,2,1,2,1,1,0,0,0,1,1,53,65,70,62,54,61,99.2,3,3,3,3,3,4,1,1,60.8,1.04838709677419,9,-1.93784011239693,1
2,2,3,0,0,7,3,3,1,1,0,0,2,2, , ,2,5,2,1,3,1,1,1,0,0,0,2,1,55,65,75,70,52,61,109,3,5,2,4,5,5,1,1,63.4,.928571428571429,9,.662159887603075,1
2,2,4,1,1,12,2,3,1,1,0,0,2,2, , ,2,1,1,2,3,2,1,1,0,0,0,2,4,57,64,70,64,57,61,165,2,5,1,3,4,3,1,1,62.4,1,6,-.337840112396925,1
2,2,3,2,2,12,1,3,1,1,0,0,1,2,1,2,2,4,4,2,1,2,1,1,0,0,0,1,1,57,67,75,69,61,61,115,2,3,2,2,5,4,1,1,65.8,.971014492753623,6,3.06215988760307,1
2,2,4,4,4,15,2,2,0,1,0,0,2,2, , ,2,3,2,2,3,2,1,0,0,1,0,1,1,6,6.8,7.5,7,5.5,61,135,4,5,1,2,4,3,0,1,6.56,.971428571428571,7, ,0
2,2,3,6,6,13,2,2,1,0,0,0,2,1,2,2,2,4,5,2,2,2,0,0,1,0,0,3,2,5,4.7,5.3,4.7,4.4,61,106,4,5,3,4,4,4,0,1,4.82,1,11, ,0
2,2,3, , ,13,1,3,1,1,0,0,1,2,2,3,2,4,2,2,1,2,1,1,0,0,0,1,1,5,6.6,7.2,6.8,5.5,61.4,106,1,5,1,2,5,4,0,1,6.22,.970588235294118,4, ,0
2,2,3,7,7,6,1,2,1,1,0,0,2,2, , ,2,3,2,2,1,2,1,1,0,0,0,1,1,5.4,6.7,7.4,7,5.9,61.5,110,1,5,1,4,5,3,0,1,6.48,.957142857142857,6, ,0
2,2,3,9,9,17,2,2,1,1,0,0,2,1,4,4,2,2,2,2,3,2,1,1,0,0,0,2,1,50,63,72,65,55,61.5,120,2,4,4,3,5,1,1,1,61,.969230769230769,9,-2.27719080918682,1
2,2,4,1821,1,13,3,2,0,1,0,0,1,1,1,2,1,3,4,2,1,1,1,1,0,0,0,2,4,57,76,78,77,58,61.5,117,2,4,3,2,5,3,1,1,69.2,.987012987012987,7,5.92280919081318,1
2,2,3, , ,3,2,3,1,1,0,0,2,2, , ,2,2,1,2,4,2,1,1,0,1,0,1,1,55,70,76,71,58,62,114,3,3,3,2,4,3,1,1,66,.985915492957746,8,2.18345849402327,1
2,2,1, , ,7,2,2,1,1,0,0,2,1,2,2,2,2,4,2,2,2,0,1,0,0,0,2,1, , , , , ,62,112,5,4,4,3,4,3, ,1, , ,12, , 
2,2,5,1,1,17,2,3,1,1,0,0,2,2, , ,2,2,2,2,4,2,1,1,1,0,0,2,1,58.42,66.04,71.12,66.04,50.8,62,109,4,5,1,2,5,4,1,1,62.484,1,7,-1.33254150597673,1
2,2,4,4,4,17,3,2,1,1,0,0,2,1,2,4,1,1,1,3,6,2,1,1,0,0,0,1,4,55,60,75,60,60,62,125,1,4,1,2,4,1,1,1,62,1,4,-1.81654150597673,1
2,2,3,7,7,12,3,3,1,1,0,0,2,1,2,4,2,1,2,2,4,2,0,0,0,1,0,4,1,64,69,73,68,56,62,143,2,5,4,2,5,2,1,1,66,1.01470588235294,8,2.18345849402327,1
2,2,1,9,9,16,2,2,1,1,0,0,2,1,1,2,2,5,4,1,3,2,1,1,0,0,0,1,1,6,9,10,8,7,62,135,4,5,2,3,5,5,0,1,8,1.125,9, ,0
2,2,1,9,9,10,2,3,1,1,0,0,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,55,67,77,69,58,62,105,3,5,4,2,4,2,1,1,65.2,.971014492753623,9,1.38345849402327,1
2,2,3,3364,4,7,2,3,1,1,0,0,2,1,1,1,2,1,1,2,4,3,1,1,0,1,0,2,1,50,70,80,70,60,62,124,3,4,2,2,5,2,1,1,66,1,7,2.18345849402327,1
2,2,4,3530,0,15,3,2,1,1,0,0,1,1,1,2,2,4,2,1,1,2,1,1,0,0,0,2,1,50,70,75,70,60,62,115,5,5,2,4,5,4,1,1,65,1,11,1.18345849402327,1
2,2,1,7700,0,10,3,3,1,0,0,0,2,1,1,1,1,3,4,2,1,1,0,0,1,1,1,5,1,55,70,80,70,60,62,125,3,5,3,3,4,3,1,1,67,1,9,3.18345849402327,1
2,2,3, , ,5,3,3,1,1,0,0,2,2, , ,2,3,4,3,2,2,1,1,1,0,0,1,1,57,65,71,66,54,62.2,98,4,4,3,3,4,4,1,1,62.6,.984848484848485,10,-1.43228178469268,1
2,2,3,0,0,17,3,3,1,1,0,0,1,1,1,2,1,4,4,2,2,2,1,1,0,0,0,1,1,6,7,8,7,6,62.5,118,1,4,2,1,4,4,0,1,6.8,1,4, ,0
2,2,3,0,0,18,1,3,1,1,0,0,2,2, , ,2,4,4,2,2,2,1,1,1,1,1,1,1,40,52,55,53,41,62.5,138,2,4,5,4,3,4,1,1,48.2,.981132075471698,11,-16.1558922027666,1
2,2,3,3,3,7,2,3,1,1,0,0,2,2, , ,2,3,2,2,1,1,1,1,0,0,0,1,1,60,74,78,73,57,62.5,120,1,4,3,2,4,3,1,1,68.4,1.01369863013699,6,4.04410779723338,1
2,2,3,6,6,17,2,2,1,1,0,0,2,1,1,2,2,1,2,3,4,2,1,1,0,0,0,1,1,52,65,73,66,47,62.5,114,4,5,1,4,5,1,1,1,60.6,.984848484848485,9,-3.75589220276662,1
2,2,3,8,8,16,1,3,1,1,0,0,1,2,2,3,2,4,3,2,3,2,1,1,0,0,0,1,1,55,69,79,76,59,62.5,116,3,4,4,5,3,4,1,1,67.6,.907894736842105,12,3.24410779723337,1
2,2,3,2652,2,13,1,2,1,1,0,0,2,2, , ,2,2,1,3,4,1,1,1,0,0,0,1,4,5,6,7,6,5,62.5,103,4,3,1,3,4,4,0,1,5.8,1,8, ,0
2,2,3,3934,4,3,3,2,1,1,0,0,2,1,2,2,2,4,2,2,1,2,1,1,0,0,0,2,3,6,7,8,7,5,62.5,135,4,5,1,5,5,4,0,1,6.6,1,10, ,0
2,2,3,6138,8,4,1,3,1,1,0,0,2,2, , ,2,1,1,2,4,3,1,1,0,1,1,2,4,55,60,70,69,53,62.5,98,2,4,3,2,4,1,1,1,61.4,.869565217391304,7,-2.95589220276663,1
2,2,5,4,4,8,2,3,1,1,0,0,1,1,1,2,2,4,4,3,1,2,1,0,1,0,0,1,1,6.1,6.9,7.6,6.9,5.7,62.9,125,2,4,5,3,4,4,0,1,6.64,1,10, ,0
